Year,Month,Day,Hour,Minute,DNI(KWH)
2023,1,1,0,0,0.2276141758193516
2023,1,1,1,0,0.22268609492180463
2023,1,1,2,0,0.2666897466308327
2023,1,1,3,0,0.2446256010901307
2023,1,1,4,0,0.24259138273790518
2023,1,1,5,0,0.24604501214557456
2023,1,1,6,0,0.34241166000502693
2023,1,1,7,0,0.43397104860116525
2023,1,1,8,0,0.554527358028678
2023,1,1,9,0,0.6487138618149819
2023,1,1,10,0,0.697439733766933
2023,1,1,11,0,0.6989571277475519
2023,1,1,12,0,0.7192233124106812
2023,1,1,13,0,0.6842078005255662
2023,1,1,14,0,0.7235748729016045
2023,1,1,15,0,0.6745434880729877
2023,1,1,16,0,0.5810532572840563
2023,1,1,17,0,0.48842249731049736
2023,1,1,18,0,0.3711803471634201
2023,1,1,19,0,0.27035840014053614
2023,1,1,20,0,0.25009524110296966
2023,1,1,21,0,0.2447713213862951
2023,1,1,22,0,0.24097700628808452
2023,1,1,23,0,0.25103531407493873
2023,1,2,0,0,0.24482745080999546
2023,1,2,1,0,0.22676674454306334
2023,1,2,2,0,0.24411678055953923
2023,1,2,3,0,0.23605370697274775
2023,1,2,4,0,0.22765312701794954
2023,1,2,5,0,0.2688578445568039
2023,1,2,6,0,0.3434651987396897
2023,1,2,7,0,0.4382582766236658
2023,1,2,8,0,0.5715927845819794
2023,1,2,9,0,0.645111720133333
2023,1,2,10,0,0.7234591446848955
2023,1,2,11,0,0.6994558946491448
2023,1,2,12,0,0.7200255845191713
2023,1,2,13,0,0.714432988561487
2023,1,2,14,0,0.7188518871915224
2023,1,2,15,0,0.6780652215841991
2023,1,2,16,0,0.6187226523162472
2023,1,2,17,0,0.484978200644617
2023,1,2,18,0,0.3607630114617551
2023,1,2,19,0,0.2835044752306338
2023,1,2,20,0,0.23477576154506746
2023,1,2,21,0,0.22938381779989347
2023,1,2,22,0,0.250023387635162
2023,1,2,23,0,0.25226412649511004
2023,1,3,0,0,0.25938181106808195
2023,1,3,1,0,0.24294620534205394
2023,1,3,2,0,0.25652308625564174
2023,1,3,3,0,0.23921854200429754
2023,1,3,4,0,0.2245608525443081
2023,1,3,5,0,0.267113390994958
2023,1,3,6,0,0.3377816323955137
2023,1,3,7,0,0.4535937891493269
2023,1,3,8,0,0.5702506750588469
2023,1,3,9,0,0.6538091869135063
2023,1,3,10,0,0.7329644303544735
2023,1,3,11,0,0.6950667060183015
2023,1,3,12,0,0.7166330204884747
2023,1,3,13,0,0.7127171143307239
2023,1,3,14,0,0.7206790632305958
2023,1,3,15,0,0.6882366636939854
2023,1,3,16,0,0.6210537735581783
2023,1,3,17,0,0.48730532763974327
2023,1,3,18,0,0.36487446130233336
2023,1,3,19,0,0.28299658166142616
2023,1,3,20,0,0.2419162871787737
2023,1,3,21,0,0.23068254130879945
2023,1,3,22,0,0.2273743628154668
2023,1,3,23,0,0.2399413362056502
2023,1,4,0,0,0.2557440769783997
2023,1,4,1,0,0.23125272353122742
2023,1,4,2,0,0.24657962573207362
2023,1,4,3,0,0.24533619690795824
2023,1,4,4,0,0.23537053690550433
2023,1,4,5,0,0.2645404147674146
2023,1,4,6,0,0.33765956437983785
2023,1,4,7,0,0.44361224253998977
2023,1,4,8,0,0.5672978300996889
2023,1,4,9,0,0.6515813380774446
2023,1,4,10,0,0.6871913855464342
2023,1,4,11,0,0.7154434984948514
2023,1,4,12,0,0.7127822507508511
2023,1,4,13,0,0.7197371271358254
2023,1,4,14,0,0.6992918088142533
2023,1,4,15,0,0.7046069687001274
2023,1,4,16,0,0.6244116014000693
2023,1,4,17,0,0.5152705762698883
2023,1,4,18,0,0.3669048272918038
2023,1,4,19,0,0.291351600400755
2023,1,4,20,0,0.2255642287741482
2023,1,4,21,0,0.2535930869231754
2023,1,4,22,0,0.24474376300335324
2023,1,4,23,0,0.25002886894548093
2023,1,5,0,0,0.2275556193719602
2023,1,5,1,0,0.23765089704717024
2023,1,5,2,0,0.22501675356569714
2023,1,5,3,0,0.2378670446353736
2023,1,5,4,0,0.2530881710973609
2023,1,5,5,0,0.2802724182838897
2023,1,5,6,0,0.32732439841017236
2023,1,5,7,0,0.45156627485449385
2023,1,5,8,0,0.5860998440420626
2023,1,5,9,0,0.6630156862466334
2023,1,5,10,0,0.7151983875817689
2023,1,5,11,0,0.7224358502288657
2023,1,5,12,0,0.7003855180066209
2023,1,5,13,0,0.7202129631396328
2023,1,5,14,0,0.7113700045217701
2023,1,5,15,0,0.7005164214772063
2023,1,5,16,0,0.6029568861469612
2023,1,5,17,0,0.49792731918211525
2023,1,5,18,0,0.3992686482883645
2023,1,5,19,0,0.2952347308693965
2023,1,5,20,0,0.26690274305915823
2023,1,5,21,0,0.25943689389584207
2023,1,5,22,0,0.2514932862847589
2023,1,5,23,0,0.2488224302732605
2023,1,6,0,0,0.24363985832931317
2023,1,6,1,0,0.24282419881279746
